10,36900000
300,997200
500,997100
3000,998300
4000,997800
5000,996100
6000,2992100
7000,1687800
8000,1472700
9000,998000
10000,1994200
11000,2992600
13000,996900
14000,997200
15000,997200
16000,6980800
17000,997000
18000,997100
19000,998600
20000,997800
10,997100
800,996700
1000,997000
2000,996900
3000,997500
4000,1994300
5000,999500
6000,998100
7000,998000
9000,995600
10000,998200
11000,1987400
12000,1000800
13000,993600
14000,995400
15000,3988400
16000,996600
17000,998100
18000,998900
10,997800
200,998000
300,998400
800,997300
1000,997000
3000,997100
4000,997100
5000,995500
6000,994400
7000,999900
8000,996800
9000,996800
10000,2990800
11000,1993400
12000,996000
13000,998300
14000,997700
15000,4985600
16000,998100
17000,998500
19000,998100
20000,1479400
500,997400
3000,998000
4000,997100
5000,997500
6000,996900
7000,996800
8000,997300
9000,996700
10000,1995600
11000,1994500
12000,997300
13000,996400
14000,998600
15000,3987500
17000,998600
19000,997900
20000,997600
10,996500
300,998100
1000,995000
4000,998200
5000,1994700
6000,1996100
7000,1994700
8000,997300
9000,1995700
10000,1996100
11000,1994800
12000,996000
13000,996600
14000,997600
15000,3988200
16000,1000100
17000,997700
18000,995900
19000,997100
20000,997800
10,996500
1000,997400
2000,1996800
3000,1001200
4000,997100
5000,1995200
6000,997700
7000,997500
8000,997500
9000,1996500
10000,1994500
11000,1994700
12000,997600
13000,996600
14000,997900
15000,3988800
16000,996800
20000,997100
500,996900
1000,997200
5000,997200
6000,997300
7000,997400
8000,996900
9000,1995100
10000,997300
11000,1995200
12000,997200
13000,997100
14000,997500
15000,3990100
18000,998200
20000,997900
10,998100
500,997700
800,996900
1000,995700
2000,997500
3000,997800
4000,997800
5000,998100
6000,997600
7000,999100
8000,1994900
9000,1993500
10000,1995000
11000,1994100
13000,997200
14000,1992000
15000,3989100
16000,996900
19000,1995700
20000,997500
300,997000
3000,997400
4000,999700
5000,997500
6000,1995300
7000,999100
8000,1994100
9000,998900
10000,996400
11000,1991400
12000,998000
13000,999100
14000,1000500
15000,2993700
16000,1994600
17000,1994700
18000,997300
20000,997900
10,997300
1000,997900
4000,997300
5000,997000
6000,1993900
7000,997000
8000,1995400
9000,1993700
10000,997500
11000,997000
12000,996900
13000,997600
14000,999700
15000,3987800
16000,997700
17000,997700
19000,998800
20000,998300
300,998500
2000,997000
3000,996900
5000,1994000
6000,997000
7000,1994600
8000,1996400
9000,997800
10000,1994200
11000,997300
12000,998200
13000,997300
14000,1994800
15000,3988600
17000,998500
19000,998700
20000,998900
10,995700
2000,997200
3000,997200
4000,997400
5000,997600
6000,996400
7000,996300
8000,997600
9000,998100
10000,997300
11000,997300
12000,996400
13000,996500
14000,996100
15000,5983300
16000,998500
17000,998300
19000,998800
10,998100
200,998100
800,997900
4000,996400
5000,997500
6000,997400
7000,1994500
8000,998300
9000,1997400
10000,1993700
11000,997100
12000,998000
13000,2990000
14000,998000
15000,11968200
16000,997500
17000,997900
18000,3988200
19000,997100
20000,997100
