10,31914400
800,998500
11000,996400
12000,997800
14000,995500
19000,997300
10,20944900
6000,997000
11000,997500
13000,997700
19000,998400
10,24930800
1000,998100
3000,996600
11000,1994600
13000,997900
10,22939000
6000,997400
11000,997100
12000,997800
10,23936100
10000,999100
11000,996700
10,26927000
8000,996100
10000,995500
11000,998900
10,22937700
11000,997400
20000,997600
10,21940200
11000,987100
10,24933000
11000,1994800
10,21942100
11000,998000
10,21941300
11000,997200
10,21940400
1000,996900
8000,997200
11000,997500
13000,997500
18000,997000
10,20940600
500,996900
11000,997100
12000,998000
19000,997100
