500,997600
3000,997300
7000,997000
10000,2997100
11000,2993300
15000,996800
17000,997500
18000,997700
20000,997200
200,997600
300,997300
800,996700
1000,997800
6000,997900
8000,997100
9000,995400
10000,996700
11000,997300
13000,998100
2000,997500
9000,996800
11000,998100
15000,1994100
17000,997700
500,997500
3000,990300
9000,999000
10000,995900
11000,997800
12000,997800
18000,997900
5000,997200
11000,995000
16000,989800
19000,998600
200,996800
2000,997900
4000,1994500
6000,997700
11000,996800
16000,996700
300,996900
800,996600
1000,998900
8000,997100
10000,997200
14000,997400
200,996000
500,996700
2000,998100
3000,997500
10000,997500
11000,997100
14000,995700
16000,998000
300,997300
3000,997200
5000,1008200
7000,996300
11000,996600
17000,998000
18000,999200
20000,996700
3000,997100
4000,996700
5000,997800
11000,996600
14000,997600
15000,997900
20000,992600
10,997300
2000,998100
3000,997300
7000,998100
10000,997200
11000,997800
500,997300
1000,997000
8000,985300
11000,997300
14000,997400
15000,997100
16000,997500
18000,997600
10,1519000
200,996500
1000,997200
10000,996700
11000,998400
12000,1000200
15000,997100
