300,998300
500,1993500
800,1994600
1000,997200
2000,996800
3000,1993900
4000,1994900
5000,1993200
6000,3986200
7000,5984900
8000,5982800
9000,8976800
10000,9973500
11000,20413500
12000,17951600
13000,18949000
14000,56848900
15000,29920900
16000,33908500
17000,32912900
18000,32912600
19000,36900600
20000,40891900
200,997400
500,1994800
800,2516000
1000,1010900
2000,1994500
3000,2992700
4000,6982800
5000,2991000
6000,7978400
7000,6980700
8000,8974200
9000,10969900
10000,13003300
11000,14960000
12000,18948900
13000,21941200
14000,20944400
15000,21942500
16000,23442300
17000,30915500
18000,33910500
19000,36936700
20000,53819100
300,997500
500,1994800
800,1993800
1000,1994100
2000,1995500
3000,2991900
4000,3990500
5000,2990900
6000,5983800
7000,12959400
8000,15958900
9000,10970900
10000,9971200
11000,20944300
12000,19365600
13000,17810000
14000,20947000
15000,21938000
16000,26928200
17000,29442200
18000,38893900
19000,46914600
20000,45876900
200,997200
300,1995400
500,1993900
800,997700
1000,997800
2000,997400
3000,1995600
4000,2991200
5000,3988500
6000,5983600
7000,8976600
8000,18948400
9000,13964400
10000,15941900
11000,16954400
12000,20941700
13000,23935700
14000,22931400
15000,23935500
16000,31910400
17000,32912600
18000,38897600
19000,44393000
20000,46872400
200,998400
300,996400
500,2991500
800,997900
1000,1995000
3000,1994700
4000,2991200
5000,3988200
6000,7979400
7000,14960700
8000,17957200
9000,11967000
10000,9972400
11000,12962100
12000,19946400
13000,17954000
14000,18947000
15000,20453100
16000,23936300
17000,25929500
18000,32911600
19000,45876900
20000,39851100
200,996900
300,997200
500,1994600
800,997600
1000,993400
2000,997600
3000,997100
4000,4986500
5000,5984700
6000,4986400
7000,7976700
8000,9975700
9000,11967600
10000,12966200
11000,13961300
12000,17946200
13000,21941200
14000,18949000
15000,24442800
16000,23935900
17000,25931100
18000,32947400
19000,42884300
20000,45918000
200,996800
300,997300
500,1995200
800,997300
1000,1983400
2000,997600
3000,1994600
4000,2992000
5000,3988500
6000,5983400
7000,8976800
8000,18949600
9000,14959100
10000,15956000
11000,17952700
12000,16953700
13000,17952100
14000,20943600
15000,27924600
16000,27926300
17000,30917000
18000,57393200
19000,46123800
20000,54854100
200,997800
300,997700
500,2995800
800,4989000
1000,1995300
2000,1994900
3000,9973200
4000,2898700
5000,3989700
6000,5868300
7000,7979200
8000,12255400
9000,12965500
10000,13966200
11000,15961000
12000,15958900
13000,18949200
14000,18949900
15000,23935800
16000,24933300
17000,30532300
18000,43841500
19000,40918700
20000,44503400
300,995700
500,1993600
800,997900
1000,1994800
2000,1994700
3000,1995100
4000,997600
5000,2991900
6000,4988400
7000,8974500
8000,9973700
9000,10969400
10000,14961600
11000,15471600
12000,15956700
13000,15957100
14000,17951000
15000,20954000
16000,25122700
17000,29921500
18000,35904000
19000,37900400
20000,41885700
200,997300
300,997700
500,1994100
800,2992500
1000,1994400
2000,996900
3000,2991100
4000,2990800
5000,3988400
6000,5984600
7000,6982500
8000,7976700
9000,9970600
10000,13961900
11000,13227300
12000,13949800
13000,16955200
14000,19946500
15000,21940500
16000,23936500
17000,32910600
18000,37932300
19000,43881700
20000,55851100
200,998400
300,997200
500,1993900
800,1994400
1000,1994500
2000,996800
3000,1993400
4000,1994200
5000,3990200
6000,4979700
7000,7979100
8000,9972800
9000,13951600
10000,10970000
11000,14961100
12000,14959800
13000,16952400
14000,20943300
15000,26927800
16000,29919600
17000,27924500
18000,32914100
19000,41889300
20000,45876700
300,998100
500,1995500
800,1994200
2000,997400
3000,1995000
4000,3989100
5000,3988800
6000,5984500
7000,8094800
8000,9973400
9000,9974500
10000,13961500
11000,13961900
12000,20519200
13000,18948600
14000,24922900
15000,25929200
16000,29920900
17000,37897900
18000,43881700
19000,35483000
20000,53857100
300,997300
500,2993500
800,998800
1000,1998200
2000,985800
3000,1992500
4000,1994600
5000,3984600
6000,3987500
7000,7978900
8000,10484200
9000,13107900
10000,12161300
11000,11968100
12000,14960100
13000,16954900
14000,18947500
15000,20943900
16000,27924900
17000,32934800
18000,35903000
19000,39506500
20000,68812800
